,Spill Number,Date Spill Reported,SpillName,County,City/Town,Address,Material,Amount,Resource Affected,Cause,Source,Waterbody,Closed,Full Address,original address,latitude,longitude
  318.,1309576,01/01/2014,Metropolitan Avenue Bridge - North Side ,KINGS,  BROOKLYN ,  METROPOLITAN AVE AND MORGAN ,Unknown Petroleum,Unknown,Surface Water,Unknown,Unknown,,01/13/14,,"METROPOLITAN AVE AND MORGAN ,  BROOKLYN , NY",40.714455,-73.935296
  319.,1309591,01/02/2014,Groundlevel ,KINGS,  BROOKLYN ,  451 CLARKSON AVE ,#6 Fuel Oil,Unknown,Unknown,Equipment Failure,Commercial/Industrial,,01/02/14,,"451 CLARKSON AVE ,  BROOKLYN , NY",40.656571,-73.946224
  320.,1309609,01/03/2014,Fuel Oil Spill At Commercial Bldg ,KINGS,  BROOKLYN ,  141 LIVINGSTON STREET ,#4 Fuel Oil,Unknown,Unknown,Unknown,Commercial/Industrial,,Not closed,,"141 LIVINGSTON STREET ,  BROOKLYN , NY",40.690693,-73.988056
  321.,1309611,01/03/2014,Business ,KINGS,  BROOKLYN ,  141 LIVINGSTON ST ,#6 Fuel Oil,20,Unknown,Human Error,Commercial/Industrial,,01/03/14,,"141 LIVINGSTON ST ,  BROOKLYN , NY",40.690693,-73.988056
  322.,1309692,01/06/2014,Parking Lot Transmission Manhole 4966 ,KINGS,  BROOKLYN ,  12TH ST & 2ND AVE ,Unknown Petroleum,10,Soil,Equipment Failure,Transformer,,02/20/14,,"12TH ST & 2ND AVE ,  BROOKLYN , NY",40.67079,-73.994896
  323.,1309693,01/06/2014,Residence ,KINGS,  BROOKLYN ,  3085 BRIGHTON 13TH STREET ,#2 Fuel Oil,20,Unknown,Equipment Failure,Private Dwelling,,03/11/14,,"3085 BRIGHTON 13TH STREET ,  BROOKLYN , NY",40.578227,-73.956439
  324.,1309710,01/07/2014,Katz Residence ,KINGS,  BROOKLYN ,  21 FALMOUTH ST ,#2 Fuel Oil,Unknown,Soil,Unknown,Private Dwelling,,01/29/14,,"21 FALMOUTH ST ,  BROOKLYN , NY",40.580986,-73.946674
  325.,1309740,01/08/2014,Roadway ,KINGS,  BROOKLYN ,  326 49TH STREET ,Biodiesel,20,Unknown,Equipment Failure,Private Dwelling,,01/08/14,,"326 49TH STREET ,  BROOKLYN , NY",40.647701,-74.013603
  326.,1309770,01/08/2014,Apartment Bldg ,KINGS,  BROOKLYN ,  400 MARLBOROUGH RD ,#2 Fuel Oil,Unknown,Unknown,Tank Test Failure,Private Dwelling,,Not closed,,"400 MARLBOROUGH RD ,  BROOKLYN , NY",40.640353,-73.964551
  327.,1309782,01/09/2014,Intersection ,KINGS,  BROOKLYN ,  BORINQUEN PL/RODNEY ST ,Hydraulic Oil,15,Unknown,Equipment Failure,Commercial/Industrial,,02/20/14,,"BORINQUEN PL/RODNEY ST ,  BROOKLYN , NY",40.707596,-73.956989
  328.,1309799,01/09/2014,Newtown Creek ,KINGS,  BROOKLYN ,  MCGUINNES BLVD/POLASKI BRIDGE ,Unknown Petroleum,Unknown,"Surface Water , Surface Water",Unknown,Unknown,Newtown Creek,01/09/14,,"MCGUINNES BLVD/POLASKI BRIDGE ,  BROOKLYN , NY",40.678178,-73.944158
  329.,1309812,01/09/2014,Apt Building ,KINGS,  BROOKLYN ,  953 DEKALB AVE ,#2 Fuel Oil,200,Unknown,Human Error,Private Dwelling,,01/10/14,,"953 DEKALB AVE ,  BROOKLYN , NY",40.693206,-73.937738
  330.,1309823,01/09/2014,Apartment Building ,KINGS,  BROOKLYN ,  1525 DORCHESTER ROAD; APT 3 ,#2 Fuel Oil,Unknown,Indoor Air,Unknown,Private Dwelling,,01/12/14,,"1525 DORCHESTER ROAD; APT 3 ,  BROOKLYN , NY",40.639772,-73.963469
  331.,1309851,01/10/2014,Bus # 269 ,KINGS,  BROOKLYN ,  200 MORGAN AVE ,Motor Oil,1,Unknown,Equipment Failure,Commercial Vehicle,,01/10/14,,"200 MORGAN AVE ,  BROOKLYN , NY",40.710891,-73.932998
  332.,1309904,01/12/2014,Apt Bld ,KINGS,  BROOKLYN ,  74 ELDERT ST ,#2 Fuel Oil,Unknown,Unknown,Equipment Failure,Commercial/Industrial,,09/09/14,,"74 ELDERT ST ,  BROOKLYN , NY",40.686965,-73.912459
  333.,1309961,01/13/2014,Roadway ,KINGS,  BROOKLYN ,  7103 AVENUE T ,#6 Fuel Oil,4,Unknown,Equipment Failure,Commercial Vehicle,,01/14/14,,"7103 AVENUE T ,  BROOKLYN , NY",40.622122,-73.909021
  334.,1309967,01/14/2014,Third Part Spill To Vault ,KINGS,  BROOKLYN ,  145 KNOLL STREET ,Waste Oil/Used Oil,Unknown,Unknown,Deliberate,Commercial/Industrial,,01/15/14,,"145 KNOLL STREET ,  BROOKLYN , NY",40.70319,-73.931237
  336.,1310101,01/16/2014,Apartment Building ,KINGS,  BROOKLYN ,  266 MALCOLM X BOULEVARD ,#2 Fuel Oil,Unknown,Unknown,Equipment Failure,Private Dwelling,,01/24/14,,"266 MALCOLM X BOULEVARD ,  BROOKLYN , NY",40.683888,-73.929443
  337.,1310110,01/17/2014,Abandoned Lot ,KINGS,  BROOKLYN ,  17 LACON BETWEEN EVERETT AND FLORENCE ,Waste Oil/Used Oil,Unknown,Soil,Deliberate,Unknown,,01/29/14,,"17 LACON BETWEEN EVERETT AND FLORENCE ,  BROOKLYN , NY",40.678178,-73.944158
  338.,1310167,01/20/2014,Former Midas Facility ,KINGS,  BROOKLYN ,  801 4TH AVENUE ,Unknown Petroleum,Unknown,"Soil , Groundwater",Unknown,Commercial/Industrial,,Not closed,,"801 4TH AVENUE ,  BROOKLYN , NY",40.658406,-73.999564
  341.,1310287,01/26/2014,Residence ,KINGS,  BROOKLYN ,  2560 BATCHELDDR ST APT 2M ,Mercury,Unknown,Unknown,Human Error,Private Dwelling,,01/30/14,,"2560 BATCHELDDR ST APT 2M ,  BROOKLYN , NY",40.590611,-73.937324
  342.,1310294,01/26/2014,Basement ,KINGS,  BROOKLYN ,  45 PINEAPPLE STREET ,#2 Fuel Oil,15,Unknown,Equipment Failure,Private Dwelling,,Not closed,,"45 PINEAPPLE STREET ,  BROOKLYN , NY",40.698551,-73.99407
  343.,1310295,01/26/2014,Julia Saunders ,KINGS,  BROOKLYN ,  274 JEFFERSON AVE ,#2 Fuel Oil,Unknown,Unknown,Equipment Failure,Private Dwelling,,Not closed,,"274 JEFFERSON AVE ,  BROOKLYN , NY",40.683517,-73.946611
  344.,1310303,01/27/2014,School (UNK Name) ,KINGS,  BROOKLYN ,  544 7TH AVE ,#2 Fuel Oil,20,"Soil , Soil",Human Error,"Institutional, Educational, Gov., Other",,04/28/14,,"544 7TH AVE ,  BROOKLYN , NY",40.660669,-73.988512
  345.,1310305,01/27/2014,Fuel Oil Misdelivery To Basement ,KINGS,  BROOKLYN ,  5202 AVENUE M ,#2 Fuel Oil,Unknown,Unknown,Equipment Failure,Private Dwelling,,05/20/14,,"5202 AVENUE M ,  BROOKLYN , NY",40.621239,-73.925032
  346.,1310424,01/30/2014,Shoreline ,KINGS,  BROOKLYN ,  25A LACON CT ,Waste Oil/Used Oil,Unknown,Unknown,Unknown,Unknown,,02/06/14,,"25A LACON CT ,  BROOKLYN , NY",40.590104,-73.930363
  347.,1310441,01/31/2014,Drum Run ,KINGS,  BROOKLYN ,  JUNIUS ST AND LINDEN BLVD ,Waste Oil/Used Oil,30,Unknown,Abandoned Drums,Commercial/Industrial,,03/05/14,,"JUNIUS ST AND LINDEN BLVD ,  BROOKLYN , NY",40.657322,-73.900272
  348.,1310452,01/31/2014,Drum Run ,KINGS,  BROOKLYN ,  JUNIUS ST BETWEEN NEW LOTS AND LINDEN ,Waste Oil/Used Oil,200,Unknown,Abandoned Drums,Commercial/Industrial,,03/05/14,,"JUNIUS ST BETWEEN NEW LOTS AND LINDEN ,  BROOKLYN , NY",40.678178,-73.944158
  349.,1310457,01/31/2014,Corner Lots ,KINGS,  BROOKLYN ,  CORNERS OF LACON CT AND EVERETT AVE ,Motor Oil,Unknown,Soil,Unknown,Unknown,,01/31/14,,"CORNERS OF LACON CT AND EVERETT AVE ,  BROOKLYN , NY",40.591647,-73.927785
